year,state,democratic,republican
2000,Alabama,692611,941173
2000,Alaska,79004,167398
2000,Arizona,685341,781652
2000,Arkansas,422768,472940
2000,California,5861203,4567429
2000,Colorado,738227,883748
2000,Connecticut,816015,561094
2000,Delaware,180068,137288
2000,District of Columbia,171923,18073
2000,Florida,2912253,2912790
2000,Georgia,1116230,1419720
2000,Hawaii,205286,137845
2000,Idaho,138637,336937
2000,Illinois,2589026,2019421
2000,Indiana,901980,1245836
2000,Iowa,638517,634373
2000,Kansas,399276,622332
2000,Kentucky,638923,872520
2000,Louisiana,792344,927871
2000,Maine,319951,286616
2000,Maryland,1144008,813827
2000,Massachusetts,1616487,878502
2000,Michigan,2170418,1953139
2000,Minnesota,1168266,1109659
2000,Mississippi,404614,572844
2000,Missouri,1111138,1189924
2000,Montana,137126,240178
2000,Nebraska,231780,433862
2000,Nevada,279978,301575
2000,New Hampshire,266348,273559
2000,New Jersey,1788850,1284173
2000,New Mexico,286783,286417
2000,New York,3942215,2258577
2000,North Carolina,1257692,1631163
2000,North Dakota,95284,174852
2000,Ohio,2183628,2350363
2000,Oklahoma,474276,744337
2000,Oregon,720342,713577
2000,Pennsylvania,2485967,2281127
2000,Rhode Island,249508,130555
2000,South Carolina,566037,786892
2000,South Dakota,118804,190700
2000,Tennessee,981720,1061949
2000,Texas,2433746,3799639
2000,Utah,203053,515096
2000,Vermont,149022,119775
2000,Virginia,1217290,1437490
2000,Washington,1247652,1108864
2000,West Virginia,295497,336475
2000,Wisconsin,1242987,1237279
2000,Wyoming,60481,147947
2004,Alabama,693933,1176394
2004,Alaska,111025,190889
2004,Arizona,893524,1104294
2004,Arkansas,469953,572898
2004,California,6745485,5509826
2004,Colorado,1001732,1101255
2004,Connecticut,857488,693826
2004,Delaware,200152,171660
2004,District of Columbia,202970,21256
2004,Florida,3583544,3964522
2004,Georgia,1914254,1366149
2004,Hawaii,231708,194191
2004,Idaho,181098,409235
2004,Illinois,2891550,2345946
2004,Indiana,969011,1479438
2004,Iowa,741898,751957
2004,Kansas,434993,736456
2004,Kentucky,712733,1069439
2004,Louisiana,820299,1102169
2004,Maine,396842,330201
2004,Maryland,1334493,1024703
2004,Massachusetts,1803800,1071109
2004,Michigan,2479183,2313746
2004,Minnesota,1445014,1346695
2004,Mississippi,457766,672660
2004,Missouri,1455713,1259171
2004,Montana,173710,266063
2004,Nebraska,254328,512814
2004,Nevada,397190,418690
2004,New Hampshire,340511,331237
2004,New Jersey,1911430,1670003
2004,New Mexico,370942,376930
2004,New York,4180755,2806993
2004,North Carolina,1525849,1961166
2004,North Dakota,111052,196651
2004,Ohio,2741165,2859764
2004,Oklahoma,503966,959792
2004,Oregon,943163,866831
2004,Pennsylvania,2938095,2793847
2004,Rhode Island,259760,169046
2004,South Carolina,661669,937974
2004,South Dakota,149244,232584
2004,Tennessee,1036477,1384375
2004,Texas,2832704,4526917
2004,Utah,241199,663742
2004,Vermont,184067,121180
2004,Virginia,1454742,1716959
2004,Washington,1510201,1304894
2004,West Virginia,326541,423778
2004,Wisconsin,1489504,1478120
2004,Wyoming,70776,167629
2008,Alabama,813479,1266546
2008,Alaska,123594,193841
2008,Arizona,1034707,1230111
2008,Arkansas,422310,638017
